document_id,transform_number,origin_class,genre,n_models,mean_delta_prob,instability_rate,flip_rate,max_abs_delta
human_hard_rusltc_0068,16,H,translation,18,-0.0000000026,0.000000,0.000000,0.0000000239
human_hard_rusltc_0073,1,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0073,2,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0073,3,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0073,4,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_hard_rusltc_0073,5,H,translation,18,-0.0007898475,0.000000,0.000000,0.0021204247
human_hard_rusltc_0073,10,H,translation,18,-0.0176311799,0.055556,0.000000,0.0744584125
human_hard_rusltc_0073,11,H,translation,18,-0.0494240523,0.333333,0.000000,0.2497054896
human_hard_rusltc_0073,13,H,translation,18,-0.0039220538,0.000000,0.000000,0.0112957336
human_hard_rusltc_0073,15,H,translation,18,0.0066675112,0.000000,0.000000,0.0318615426
human_hard_rusltc_0073,16,H,translation,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_buriy_2014_0027,1,H,news,18,0.0000050032,0.000000,0.000000,0.0000410528
human_news_buriy_2014_0027,2,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_buriy_2014_0027,3,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_buriy_2014_0027,4,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_buriy_2014_0027,5,H,news,18,-0.0010200443,0.000000,0.000000,0.0093831581
human_news_buriy_2014_0027,10,H,news,18,-0.0005041639,0.000000,0.000000,0.0069727167
human_news_buriy_2014_0027,11,H,news,18,-0.0046563305,0.000000,0.000000,0.0435908539
human_news_buriy_2014_0027,13,H,news,18,0.0002821526,0.000000,0.000000,0.0051603520
human_news_buriy_2014_0027,15,H,news,18,0.0003012013,0.000000,0.000000,0.0052616925
human_news_buriy_2014_0027,16,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_buriy_2014_0034,1,H,news,18,0.0001086022,0.000000,0.000000,0.0003926484
human_news_buriy_2014_0034,2,H,news,18,-0.0000001477,0.000000,0.000000,0.0000005345
human_news_buriy_2014_0034,3,H,news,18,-0.0000001477,0.000000,0.000000,0.0000005345
human_news_buriy_2014_0034,4,H,news,18,-0.0000001477,0.000000,0.000000,0.0000005345
human_news_buriy_2014_0034,5,H,news,18,0.0037442730,0.000000,0.000000,0.0154636775
human_news_buriy_2014_0034,10,H,news,18,-0.0235660993,0.111111,0.000000,0.1173207740
human_news_buriy_2014_0034,11,H,news,18,-0.0319526988,0.111111,0.000000,0.1904929773
human_news_buriy_2014_0034,13,H,news,18,-0.0002397161,0.000000,0.000000,0.0014825455
human_news_buriy_2014_0034,15,H,news,18,0.0019158292,0.000000,0.000000,0.0216010267
human_news_buriy_2014_0034,16,H,news,18,-0.0000001477,0.000000,0.000000,0.0000005345
human_news_gazeta_0031,1,H,news,18,0.0004636877,0.000000,0.000000,0.0013209994
human_news_gazeta_0031,2,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_gazeta_0031,3,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_gazeta_0031,4,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_gazeta_0031,5,H,news,18,-0.0010336990,0.000000,0.000000,0.0128920331
human_news_gazeta_0031,10,H,news,18,0.0171913186,0.055556,0.000000,0.0801554207
human_news_gazeta_0031,11,H,news,18,-0.0404426402,0.277778,0.000000,0.1663495517
human_news_gazeta_0031,13,H,news,18,0.0004378522,0.000000,0.000000,0.0110071443
human_news_gazeta_0031,15,H,news,18,0.0007091261,0.000000,0.000000,0.0043968824
human_news_gazeta_0031,16,H,news,18,0.0000000000,0.000000,0.000000,0.0000000000
human_news_gazeta_0040,1,H,news,18,0.0001579366,0.000000,0.000000,0.0006544463
